time	V(n002)	V(n003)	I(C1)	I(V2)	I(V1)
2.656970134703442e-01	-8.339749e-01	1.660251e-01	-3.464901e+01	3.464901e+01	3.464901e+01
2.666735759703442e-01	-8.662424e-01	1.337576e-01	-3.137261e+01	3.137261e+01	3.137261e+01
2.676501384703442e-01	-8.952495e-01	1.047505e-01	-2.797812e+01	2.797812e+01	2.797812e+01
2.686267009703442e-01	-9.208872e-01	7.911285e-02	-2.447833e+01	2.447833e+01	2.447833e+01
2.696032634703442e-01	-9.430588e-01	5.694124e-02	-2.088641e+01	2.088641e+01	2.088641e+01
2.705798259703442e-01	-9.616809e-01	3.831909e-02	-1.721587e+01	1.721587e+01	1.721587e+01
2.715563884703442e-01	-9.766835e-01	2.331649e-02	-1.348054e+01	1.348054e+01	1.348054e+01
2.725329509703442e-01	-9.880101e-01	1.198990e-02	-9.694477e+00	9.694477e+00	9.694477e+00
2.735095134703442e-01	-9.956180e-01	4.381960e-03	-5.871922e+00	5.871922e+00	5.871922e+00
2.744860759703442e-01	-9.994787e-01	5.213026e-04	-2.027266e+00	2.027266e+00	2.027266e+00
2.754626384703442e-01	-9.995775e-01	4.224571e-04	1.825021e+00	-1.825021e+00	-1.825021e+00
2.764392009703442e-01	-9.959142e-01	4.085796e-03	5.670438e+00	-5.670438e+00	-5.670438e+00
2.774157634703442e-01	-9.885024e-01	1.149753e-02	9.494513e+00	-9.494513e+00	-9.494513e+00
2.783923259703442e-01	-9.773703e-01	2.262977e-02	1.328285e+01	-1.328285e+01	-1.328285e+01
2.793688884703442e-01	-9.625594e-01	3.744060e-02	1.702120e+01	-1.702120e+01	-1.702120e+01
2.803454509703442e-01	-9.441257e-01	5.587430e-02	2.069548e+01	-2.069548e+01	-2.069548e+01
2.813220134703442e-01	-9.221385e-01	7.786147e-02	2.429187e+01	-2.429187e+01	-2.429187e+01
2.822985759703442e-01	-8.966807e-01	1.033194e-01	2.779683e+01	-2.779683e+01	-2.779683e+01
2.832751384703442e-01	-8.678479e-01	1.321521e-01	3.119717e+01	-3.119717e+01	-3.119717e+01
2.842517009703442e-01	-8.357487e-01	1.642513e-01	3.448009e+01	-3.448009e+01	-3.448009e+01
2.852282634703442e-01	-8.005039e-01	1.994961e-01	3.763323e+01	-3.763323e+01	-3.763323e+01
2.862048259703442e-01	-7.622463e-01	2.377537e-01	4.064473e+01	-4.064473e+01	-4.064473e+01
2.871813884703442e-01	-7.211197e-01	2.788803e-01	4.350326e+01	-4.350326e+01	-4.350326e+01
2.881579509703442e-01	-6.772790e-01	3.227210e-01	4.619805e+01	-4.619805e+01	-4.619805e+01
2.891345134703442e-01	-6.308891e-01	3.691109e-01	4.871896e+01	-4.871896e+01	-4.871896e+01
2.901110759703442e-01	-5.821248e-01	4.178752e-01	5.105650e+01	-5.105650e+01	-5.105650e+01
2.920642009703442e-01	-4.782149e-01	5.217851e-01	5.514701e+01	-5.514701e+01	-5.514701e+01
2.940173259703442e-01	-3.671122e-01	6.328878e-01	5.840806e+01	-5.840806e+01	-5.840806e+01
2.959704509703442e-01	-2.504877e-01	7.495123e-01	6.079060e+01	-6.079060e+01	-6.079060e+01
2.979235759703442e-01	-1.300958e-01	8.699042e-01	6.225879e+01	-6.225879e+01	-6.225879e+01
2.998767009703442e-01	-7.747029e-03	9.922529e-01	6.279055e+01	-6.279055e+01	-6.279055e+01
3.018298259703442e-01	1.147182e-01	1.114718e+00	6.237788e+01	-6.237788e+01	-6.237788e+01
3.037829509703442e-01	2.354580e-01	1.235458e+00	6.102699e+01	-6.102699e+01	-6.102699e+01
3.057360759703442e-01	3.526563e-01	1.352656e+00	5.875821e+01	-5.875821e+01	-5.875821e+01
3.076892009703442e-01	4.645503e-01	1.464550e+00	5.560563e+01	-5.560563e+01	-5.560563e+01
3.096423259703442e-01	5.694571e-01	1.569457e+00	5.161671e+01	-5.161671e+01	-5.161671e+01
3.115954509703442e-01	6.657986e-01	1.665799e+00	4.685141e+01	-4.685141e+01	-4.685141e+01
3.135485759703442e-01	7.521260e-01	1.752126e+00	4.138143e+01	-4.138143e+01	-4.138143e+01
3.155017009703442e-01	8.271406e-01	1.827141e+00	3.528903e+01	-3.528903e+01	-3.528903e+01
3.174548259703442e-01	8.897144e-01	1.889714e+00	2.866586e+01	-2.866586e+01	-2.866586e+01
3.194079509703442e-01	9.389059e-01	1.938906e+00	2.161152e+01	-2.161152e+01	-2.161152e+01
3.213610759703442e-01	9.739755e-01	1.973975e+00	1.423212e+01	-1.423212e+01	-1.423212e+01
3.233142009703442e-01	9.943955e-01	1.994395e+00	6.638662e+00	-6.638662e+00	-6.638662e+00
3.252673259703442e-01	9.998589e-01	1.999859e+00	-1.054649e+00	1.054649e+00	1.054649e+00
3.272204509703442e-01	9.902835e-01	1.990284e+00	-8.732098e+00	8.732098e+00	8.732098e+00
3.291735759703442e-01	9.658134e-01	1.965813e+00	-1.627821e+01	1.627821e+01	1.627821e+01
3.311267009703442e-01	9.268165e-01	1.926816e+00	-2.357948e+01	2.357948e+01	2.357948e+01
3.330798259703442e-01	8.738794e-01	1.873879e+00	-3.052609e+01	3.052609e+01	3.052609e+01
3.350329509703442e-01	8.077983e-01	1.807798e+00	-3.701357e+01	3.701357e+01	3.701357e+01
3.369860759703442e-01	7.295672e-01	1.729567e+00	-4.294431e+01	4.294431e+01	4.294431e+01
3.389392009703442e-01	6.403628e-01	1.640363e+00	-4.822915e+01	4.822915e+01	4.822915e+01
3.408923259703442e-01	5.415267e-01	1.541527e+00	-5.278857e+01	5.278857e+01	5.278857e+01
3.428454509703442e-01	4.345455e-01	1.434546e+00	-5.655400e+01	5.655400e+01	5.655400e+01
3.447985759703442e-01	3.210284e-01	1.321028e+00	-5.946880e+01	5.946880e+01	5.946880e+01
3.467517009703442e-01	2.026826e-01	1.202683e+00	-6.148914e+01	6.148914e+01	6.148914e+01
3.487048259703442e-01	8.128840e-02	1.081288e+00	-6.258463e+01	6.258463e+01	6.258463e+01
3.506579509703442e-01	-4.132850e-02	9.586715e-01	-6.273878e+01	6.273878e+01	6.273878e+01
3.526110759703442e-01	-1.633238e-01	8.366762e-01	-6.194929e+01	6.194929e+01	6.194929e+01
3.545642009703442e-01	-2.828625e-01	7.171375e-01	-6.022802e+01	6.022802e+01	6.022802e+01
3.565173259703442e-01	-3.981467e-01	6.018533e-01	-5.760086e+01	5.760086e+01	5.760086e+01
3.584704509703442e-01	-5.074425e-01	4.925575e-01	-5.410734e+01	5.410734e+01	5.410734e+01
3.604235759703442e-01	-6.091058e-01	3.908942e-01	-4.979999e+01	4.979999e+01	4.979999e+01
3.614001384703442e-01	-6.565923e-01	3.434077e-01	-4.736092e+01	4.736092e+01	4.736092e+01
3.623767009703442e-01	-7.016076e-01	2.983924e-01	-4.474360e+01	4.474360e+01	4.474360e+01
3.633532634703442e-01	-7.439821e-01	2.560178e-01	-4.195787e+01	4.195787e+01	4.195787e+01
3.643298259703442e-01	-7.835566e-01	2.164434e-01	-3.901423e+01	3.901423e+01	3.901423e+01
3.653063884703442e-01	-8.201818e-01	1.798182e-01	-3.592374e+01	3.592374e+01	3.592374e+01
3.662829509703442e-01	-8.537201e-01	1.462799e-01	-3.269804e+01	3.269804e+01	3.269804e+01
3.672595134703442e-01	-8.840452e-01	1.159548e-01	-2.934928e+01	2.934928e+01	2.934928e+01
3.682360759703442e-01	-9.110429e-01	8.895709e-02	-2.589005e+01	2.589005e+01	2.589005e+01
3.692126384703442e-01	-9.346117e-01	6.538833e-02	-2.233337e+01	2.233337e+01	2.233337e+01
3.701892009703442e-01	-9.546628e-01	4.533723e-02	-1.869264e+01	1.869264e+01	1.869264e+01
3.711657634703442e-01	-9.711207e-01	2.887926e-02	-1.498156e+01	1.498156e+01	1.498156e+01
3.721423259703442e-01	-9.839236e-01	1.607637e-02	-1.121408e+01	1.121408e+01	1.121408e+01
3.731188884703442e-01	-9.930233e-01	6.976751e-03	-7.404404e+00	7.404404e+00	7.404404e+00
3.740954509703442e-01	-9.983854e-01	1.614645e-03	-3.566855e+00	3.566855e+00	3.566855e+00
3.750720134703442e-01	-9.999897e-01	1.023662e-05	2.841185e-01	-2.841185e-01	-2.841185e-01
3.760485759703442e-01	-9.978305e-01	2.169564e-03	4.134023e+00	-4.134023e+00	-4.134023e+00
3.770251384703442e-01	-9.919155e-01	8.084499e-03	7.968367e+00	-7.968367e+00	-7.968367e+00
3.780017009703442e-01	-9.822672e-01	1.773278e-02	1.177272e+01	-1.177272e+01	-1.177272e+01
3.789782634703442e-01	-9.689219e-01	3.107809e-02	1.553276e+01	-1.553276e+01	-1.553276e+01
3.799548259703442e-01	-9.519298e-01	4.807021e-02	1.923435e+01	-1.923435e+01	-1.923435e+01
3.809313884703442e-01	-9.313548e-01	6.864518e-02	2.286353e+01	-2.286353e+01	-2.286353e+01
3.819079509703442e-01	-9.072744e-01	9.272555e-02	2.640667e+01	-2.640667e+01	-2.640667e+01
