time	V(n003)	V(n001)	V(n002)	V(n005)	V(n004)	I(C1)	I(R3)	I(R2)	I(R1)	I(V2)	I(V1)
1.289782634703442e-01	5.000000e+00	9.844609e+00	6.560034e+00	3.280017e+00	4.893367e+00	3.183231e-12	-3.280017e+00	3.280017e+00	-3.280017e+00	-3.280017e+00	-3.280017e+00
1.319079509703442e-01	5.000000e+00	9.536372e+00	6.354736e+00	3.177368e+00	4.688069e+00	3.637979e-12	-3.177368e+00	3.177368e+00	-3.177368e+00	-3.177368e+00	-3.177368e+00
1.348376384703442e-01	5.000000e+00	9.074856e+00	6.047347e+00	3.023674e+00	4.380681e+00	4.092726e-12	-3.023674e+00	3.023674e+00	-3.023674e+00	-3.023674e+00	-3.023674e+00
1.377673259703442e-01	5.000000e+00	8.475653e+00	5.648255e+00	2.824128e+00	3.981588e+00	3.410605e-12	-2.824128e+00	2.824128e+00	-2.824128e+00	-2.824128e+00	-2.824128e+00
1.406970134703442e-01	5.000000e+00	7.759012e+00	5.170944e+00	2.585472e+00	3.504277e+00	3.183231e-12	-2.585472e+00	2.585472e+00	-2.585472e+00	-2.585472e+00	-2.585472e+00
1.436267009703442e-01	5.000000e+00	6.949146e+00	4.631542e+00	2.315771e+00	2.964875e+00	1.818989e-12	-2.315771e+00	2.315771e+00	-2.315771e+00	-2.315771e+00	-2.315771e+00
1.465563884703442e-01	5.000000e+00	6.073421e+00	4.048274e+00	2.024137e+00	2.381608e+00	1.818989e-12	-2.024137e+00	2.024137e+00	-2.024137e+00	-2.024137e+00	-2.024137e+00
1.533923259703442e-01	5.000000e+00	3.942321e+00	2.628877e+00	1.314439e+00	9.622105e-01	6.821210e-13	-1.314439e+00	1.314439e+00	-1.314439e+00	-1.314439e+00	-1.314439e+00
1.553454509703442e-01	5.000000e+00	3.352072e+00	2.235749e+00	1.117874e+00	5.690818e-01	0.000000e+00	-1.117874e+00	1.117874e+00	-1.117874e+00	-1.117874e+00	-1.117874e+00
1.563220134703442e-01	5.000000e+00	3.065701e+00	2.045014e+00	1.022507e+00	3.783473e-01	0.000000e+00	-1.022507e+00	1.022507e+00	-1.022507e+00	-1.022507e+00	-1.022507e+00
1.572985759703442e-01	5.000000e+00	2.786610e+00	1.859128e+00	9.295642e-01	1.924618e-01	-1.136868e-13	-9.295642e-01	9.295642e-01	-9.295642e-01	-9.295642e-01	-9.295642e-01
1.582751384703442e-01	5.000000e+00	2.515850e+00	1.678792e+00	8.393958e-01	1.212480e-02	-3.410605e-13	-8.393958e-01	8.393958e-01	-8.393958e-01	-8.393958e-01	-8.393958e-01
1.592517009703442e-01	5.000000e+00	2.254439e+00	1.504682e+00	7.523409e-01	-1.619849e-01	-4.547474e-13	-7.523409e-01	7.523409e-01	-7.523409e-01	-7.523409e-01	-7.523409e-01
1.602282634703442e-01	5.000000e+00	2.003362e+00	1.337455e+00	6.687274e-01	-3.292119e-01	-5.684342e-13	-6.687274e-01	6.687274e-01	-6.687274e-01	-6.687274e-01	-6.687274e-01
1.612048259703442e-01	5.000000e+00	1.763564e+00	1.177740e+00	5.888699e-01	-4.889269e-01	-7.958079e-13	-5.888699e-01	5.888699e-01	-5.888699e-01	-5.888699e-01	-5.888699e-01
1.621813884703442e-01	5.000000e+00	1.535947e+00	1.026138e+00	5.130690e-01	-6.405287e-01	-9.094947e-13	-5.130690e-01	5.130690e-01	-5.130690e-01	-5.130690e-01	-5.130690e-01
1.631579509703442e-01	5.000000e+00	1.321368e+00	8.832199e-01	4.416099e-01	-7.834467e-01	-9.094947e-13	-4.416099e-01	4.416099e-01	-4.416099e-01	-4.416099e-01	-4.416099e-01
1.641345134703442e-01	5.000000e+00	1.120635e+00	7.495235e-01	3.747618e-01	-9.171431e-01	-1.136868e-12	-3.747618e-01	3.747618e-01	-3.747618e-01	-3.747618e-01	-3.747618e-01
1.651110759703442e-01	5.000000e+00	9.345026e-01	6.255521e-01	3.127760e-01	-1.041115e+00	-1.591616e-12	-3.127760e-01	3.127760e-01	-3.127760e-01	-3.127760e-01	-3.127760e-01
1.660876384703442e-01	5.000000e+00	7.636718e-01	5.117720e-01	2.558860e-01	-1.154895e+00	-1.818989e-12	-2.558860e-01	2.558860e-01	-2.558860e-01	-2.558860e-01	-2.558860e-01
1.670642009703442e-01	5.000000e+00	6.087856e-01	4.086117e-01	2.043058e-01	-1.258055e+00	-1.818989e-12	-2.043058e-01	2.043058e-01	-2.043058e-01	-2.043058e-01	-2.043058e-01
1.680407634703442e-01	5.000000e+00	4.704269e-01	3.164594e-01	1.582297e-01	-1.350207e+00	-1.818989e-12	-1.582297e-01	1.582297e-01	-1.582297e-01	-1.582297e-01	-1.582297e-01
1.690173259703442e-01	5.000000e+00	3.491166e-01	2.356619e-01	1.178309e-01	-1.431005e+00	-1.818989e-12	-1.178309e-01	1.178309e-01	-1.178309e-01	-1.178309e-01	-1.178309e-01
1.699938884703442e-01	5.000000e+00	2.453111e-01	1.665233e-01	8.326165e-02	-1.500143e+00	-1.818989e-12	-8.326165e-02	8.326165e-02	-8.326165e-02	-8.326165e-02	-8.326165e-02
1.709704509703442e-01	5.000000e+00	1.594011e-01	1.093039e-01	5.465196e-02	-1.557363e+00	-1.818989e-12	-5.465196e-02	5.465196e-02	-5.465196e-02	-5.465196e-02	-5.465196e-02
1.719470134703442e-01	5.000000e+00	9.171015e-02	6.421905e-02	3.210953e-02	-1.602448e+00	-1.818989e-12	-3.210953e-02	3.210953e-02	-3.210953e-02	-3.210953e-02	-3.210953e-02
1.729235759703442e-01	5.000000e+00	4.249284e-02	3.143838e-02	1.571919e-02	-1.635228e+00	-1.818989e-12	-1.571919e-02	1.571919e-02	-1.571919e-02	-1.571919e-02	-1.571919e-02
1.739001384703442e-01	5.000000e+00	1.193446e-02	1.108530e-02	5.542651e-03	-1.655581e+00	-1.818989e-12	-5.542651e-03	5.542651e-03	-5.542651e-03	-5.542651e-03	-5.542651e-03
1.748767009703442e-01	5.000000e+00	1.500434e-04	3.236413e-03	1.618207e-03	-1.663430e+00	-1.818989e-12	-1.618207e-03	1.618207e-03	-1.618207e-03	-1.618207e-03	-1.618207e-03
1.758532634703442e-01	5.000000e+00	7.183929e-03	7.921258e-03	3.960629e-03	-1.658745e+00	-1.818989e-12	-3.960629e-03	3.960629e-03	-3.960629e-03	-3.960629e-03	-3.960629e-03
1.768298259703442e-01	5.000000e+00	3.300965e-02	2.512220e-02	1.256110e-02	-1.641544e+00	-1.818989e-12	-1.256110e-02	1.256110e-02	-1.256110e-02	-1.256110e-02	-1.256110e-02
1.778063884703442e-01	5.000000e+00	7.753000e-02	5.477451e-02	2.738725e-02	-1.611892e+00	-1.818989e-12	-2.738725e-02	2.738725e-02	-2.738725e-02	-2.738725e-02	-2.738725e-02
1.787829509703442e-01	5.000000e+00	1.405774e-01	9.676657e-02	4.838328e-02	-1.569900e+00	-1.818989e-12	-4.838328e-02	4.838328e-02	-4.838328e-02	-4.838328e-02	-4.838328e-02
1.797595134703442e-01	5.000000e+00	2.219146e-01	1.509403e-01	7.547016e-02	-1.515726e+00	-1.818989e-12	-7.547016e-02	7.547016e-02	-7.547016e-02	-7.547016e-02	-7.547016e-02
1.807360759703442e-01	5.000000e+00	3.212354e-01	2.170919e-01	1.085460e-01	-1.449575e+00	-1.705303e-12	-1.085460e-01	1.085460e-01	-1.085460e-01	-1.085460e-01	-1.085460e-01
1.817126384703442e-01	5.000000e+00	4.381661e-01	2.949723e-01	1.474862e-01	-1.371694e+00	-1.477929e-12	-1.474862e-01	1.474862e-01	-1.474862e-01	-1.474862e-01	-1.474862e-01
1.826892009703442e-01	5.000000e+00	5.722664e-01	3.842884e-01	1.921442e-01	-1.282378e+00	-1.364242e-12	-1.921442e-01	1.921442e-01	-1.921442e-01	-1.921442e-01	-1.921442e-01
1.836657634703442e-01	5.000000e+00	7.230317e-01	4.847041e-01	2.423520e-01	-1.181963e+00	-1.477929e-12	-2.423520e-01	2.423520e-01	-2.423520e-01	-2.423520e-01	-2.423520e-01
1.846423259703442e-01	5.000000e+00	8.898946e-01	5.958413e-01	2.979207e-01	-1.070825e+00	-1.477929e-12	-2.979207e-01	2.979207e-01	-2.979207e-01	-2.979207e-01	-2.979207e-01
1.856188884703442e-01	5.000000e+00	1.072227e+00	7.172819e-01	3.586409e-01	-9.493848e-01	-1.136868e-12	-3.586409e-01	3.586409e-01	-3.586409e-01	-3.586409e-01	-3.586409e-01
1.865954509703442e-01	5.000000e+00	1.269343e+00	8.485687e-01	4.242843e-01	-8.180981e-01	-9.094947e-13	-4.242843e-01	4.242843e-01	-4.242843e-01	-4.242843e-01	-4.242843e-01
1.875720134703442e-01	5.000000e+00	1.480500e+00	9.892075e-01	4.946038e-01	-6.774592e-01	-9.094947e-13	-4.946038e-01	4.946038e-01	-4.946038e-01	-4.946038e-01	-4.946038e-01
1.885485759703442e-01	5.000000e+00	1.704903e+00	1.138669e+00	5.693346e-01	-5.279976e-01	-7.958079e-13	-5.693346e-01	5.693346e-01	-5.693346e-01	-5.693346e-01	-5.693346e-01
1.895251384703442e-01	5.000000e+00	1.941709e+00	1.296391e+00	6.481955e-01	-3.702757e-01	-5.684342e-13	-6.481955e-01	6.481955e-01	-6.481955e-01	-6.481955e-01	-6.481955e-01
1.905017009703442e-01	5.000000e+00	2.190025e+00	1.461779e+00	7.308897e-01	-2.048872e-01	-4.547474e-13	-7.308897e-01	7.308897e-01	-7.308897e-01	-7.308897e-01	-7.308897e-01
