time	V(n002)	I(C1)	I(I1)	I(V1)
3.311267009703442e-01	9.268165e-01	-2.357948e+01	1.000000e+00	2.257948e+01
3.330798259703442e-01	8.738794e-01	-3.052609e+01	1.000000e+00	2.952609e+01
3.350329509703442e-01	8.077983e-01	-3.701357e+01	1.000000e+00	3.601357e+01
3.369860759703442e-01	7.295672e-01	-4.294431e+01	1.000000e+00	4.194431e+01
3.389392009703442e-01	6.403628e-01	-4.822915e+01	1.000000e+00	4.722915e+01
3.408923259703442e-01	5.415267e-01	-5.278857e+01	1.000000e+00	5.178857e+01
3.428454509703442e-01	4.345455e-01	-5.655400e+01	1.000000e+00	5.555400e+01
3.447985759703442e-01	3.210284e-01	-5.946880e+01	1.000000e+00	5.846880e+01
3.467517009703442e-01	2.026826e-01	-6.148914e+01	1.000000e+00	6.048914e+01
3.487048259703442e-01	8.128840e-02	-6.258463e+01	1.000000e+00	6.158463e+01
3.506579509703442e-01	-4.132850e-02	-6.273878e+01	1.000000e+00	6.173878e+01
3.526110759703442e-01	-1.633238e-01	-6.194929e+01	1.000000e+00	6.094929e+01
3.545642009703442e-01	-2.828625e-01	-6.022802e+01	1.000000e+00	5.922802e+01
3.565173259703442e-01	-3.981467e-01	-5.760086e+01	1.000000e+00	5.660086e+01
3.584704509703442e-01	-5.074425e-01	-5.410734e+01	1.000000e+00	5.310734e+01
3.604235759703442e-01	-6.091058e-01	-4.979999e+01	1.000000e+00	4.879999e+01
3.623767009703442e-01	-7.016076e-01	-4.474360e+01	1.000000e+00	4.374360e+01
3.643298259703442e-01	-7.835566e-01	-3.901423e+01	1.000000e+00	3.801423e+01
3.662829509703442e-01	-8.537201e-01	-3.269804e+01	1.000000e+00	3.169804e+01
3.682360759703442e-01	-9.110429e-01	-2.589005e+01	1.000000e+00	2.489005e+01
3.701892009703442e-01	-9.546628e-01	-1.869264e+01	1.000000e+00	1.769264e+01
3.721423259703442e-01	-9.839236e-01	-1.121408e+01	1.000000e+00	1.021408e+01
3.740954509703442e-01	-9.983854e-01	-3.566855e+00	1.000000e+00	2.566855e+00
3.760485759703442e-01	-9.978305e-01	4.134023e+00	1.000000e+00	-5.134023e+00
3.780017009703442e-01	-9.822672e-01	1.177272e+01	1.000000e+00	-1.277272e+01
3.799548259703442e-01	-9.519298e-01	1.923435e+01	1.000000e+00	-2.023435e+01
3.819079509703442e-01	-9.072744e-01	2.640667e+01	1.000000e+00	-2.740667e+01
3.838610759703442e-01	-8.489729e-01	3.318181e+01	1.000000e+00	-3.418181e+01
3.858142009703442e-01	-7.779019e-01	3.945787e+01	1.000000e+00	-4.045787e+01
3.877673259703442e-01	-6.951306e-01	4.514044e+01	1.000000e+00	-4.614044e+01
3.897204509703442e-01	-6.019039e-01	5.014406e+01	1.000000e+00	-5.114406e+01
3.916735759703442e-01	-4.996240e-01	5.439347e+01	1.000000e+00	-5.539347e+01
3.936267009703442e-01	-3.898293e-01	5.782475e+01	1.000000e+00	-5.882475e+01
3.955798259703442e-01	-2.741711e-01	6.038628e+01	1.000000e+00	-6.138628e+01
3.975329509703442e-01	-1.543892e-01	6.203956e+01	1.000000e+00	-6.303956e+01
3.994860759703442e-01	-3.228519e-02	6.275970e+01	1.000000e+00	-6.375970e+01
4.014392009703442e-01	9.030447e-02	6.253588e+01	1.000000e+00	-6.353588e+01
4.033923259703442e-01	2.115359e-01	6.137146e+01	1.000000e+00	-6.237146e+01
4.053454509703442e-01	3.295856e-01	5.928395e+01	1.000000e+00	-6.028395e+01
4.072985759703442e-01	4.426780e-01	5.630476e+01	1.000000e+00	-5.730476e+01
4.092517009703442e-01	5.491121e-01	5.247869e+01	1.000000e+00	-5.347869e+01
4.112048259703442e-01	6.472871e-01	4.786330e+01	1.000000e+00	-4.886330e+01
4.131579509703442e-01	7.357263e-01	4.252800e+01	1.000000e+00	-4.352800e+01
4.151110759703442e-01	8.130995e-01	3.655303e+01	1.000000e+00	-3.755303e+01
4.170642009703442e-01	8.782429e-01	3.002827e+01	1.000000e+00	-3.102827e+01
4.190173259703442e-01	9.301767e-01	2.305187e+01	1.000000e+00	-2.405187e+01
4.209704509703442e-01	9.681197e-01	1.572874e+01	1.000000e+00	-1.672873e+01
4.229235759703442e-01	9.915015e-01	8.169030e+00	1.000000e+00	-9.169030e+00
4.248767009703442e-01	9.999700e-01	4.864548e-01	1.000000e+00	-1.486455e+00
4.258532634703442e-01	9.985632e-01	-3.364823e+00	1.000000e+00	2.364823e+00
4.278063884703442e-01	9.844940e-01	-1.101494e+01	1.000000e+00	1.001494e+01
4.297595134703442e-01	9.556171e-01	-1.849938e+01	1.000000e+00	1.749938e+01
4.317126384703442e-01	9.123668e-01	-2.570557e+01	1.000000e+00	2.470557e+01
4.336657634703442e-01	8.553936e-01	-3.252513e+01	1.000000e+00	3.152513e+01
4.356188884703442e-01	7.855546e-01	-3.885548e+01	1.000000e+00	3.785548e+01
4.375720134703442e-01	7.039001e-01	-4.460140e+01	1.000000e+00	4.360140e+01
4.395251384703442e-01	6.116582e-01	-4.967648e+01	1.000000e+00	4.867648e+01
4.414782634703442e-01	5.102165e-01	-5.400438e+01	1.000000e+00	5.300438e+01
4.434313884703442e-01	4.011006e-01	-5.752000e+01	1.000000e+00	5.652000e+01
4.453845134703442e-01	2.859518e-01	-6.017048e+01	1.000000e+00	5.917048e+01
4.473376384703442e-01	1.665020e-01	-6.191592e+01	1.000000e+00	6.091592e+01
4.492907634703442e-01	4.454790e-02	-6.273009e+01	1.000000e+00	6.173009e+01
4.512438884703442e-01	-7.807627e-02	-6.260075e+01	1.000000e+00	6.160075e+01
4.531970134703442e-01	-1.995261e-01	-6.152983e+01	1.000000e+00	6.052983e+01
4.551501384703442e-01	-3.179749e-01	-5.953345e+01	1.000000e+00	5.853345e+01
4.571032634703442e-01	-4.316410e-01	-5.664163e+01	1.000000e+00	5.564163e+01
4.590563884703442e-01	-5.388149e-01	-5.289787e+01	1.000000e+00	5.189787e+01
4.610095134703442e-01	-6.378844e-01	-4.835847e+01	1.000000e+00	4.735847e+01
4.629626384703442e-01	-7.273597e-01	-4.309171e+01	1.000000e+00	4.209171e+01
4.649157634703442e-01	-8.058947e-01	-3.717682e+01	1.000000e+00	3.617682e+01
4.668688884703442e-01	-8.723083e-01	-3.070275e+01	1.000000e+00	2.970275e+01
4.688220134703442e-01	-9.256016e-01	-2.376689e+01	1.000000e+00	2.276689e+01
4.707751384703442e-01	-9.649730e-01	-1.647355e+01	1.000000e+00	1.547355e+01
4.727282634703442e-01	-9.898303e-01	-8.932426e+00	1.000000e+00	7.932426e+00
4.746813884703442e-01	-9.997996e-01	-1.256955e+00	1.000000e+00	2.569548e-01
4.766345134703442e-01	-9.947310e-01	6.437422e+00	1.000000e+00	-7.437422e+00
4.785876384703442e-01	-9.747007e-01	1.403497e+01	1.000000e+00	-1.503497e+01
4.805407634703442e-01	-9.400101e-01	2.142143e+01	1.000000e+00	-2.242143e+01
4.824938884703442e-01	-8.911808e-01	2.848568e+01	1.000000e+00	-2.948568e+01
4.844470134703442e-01	-8.289473e-01	3.512149e+01	1.000000e+00	-3.612149e+01
4.864001384703442e-01	-7.542456e-01	4.122903e+01	1.000000e+00	-4.222903e+01
4.883532634703442e-01	-6.681995e-01	4.671645e+01	1.000000e+00	-4.771645e+01
4.903063884703442e-01	-5.721030e-01	5.150121e+01	1.000000e+00	-5.250121e+01
4.922595134703442e-01	-4.674015e-01	5.551135e+01	1.000000e+00	-5.651135e+01
4.942126384703442e-01	-3.556698e-01	5.868654e+01	1.000000e+00	-5.968654e+01
4.961657634703442e-01	-2.385886e-01	6.097903e+01	1.000000e+00	-6.197903e+01
4.981188884703442e-01	-1.179187e-01	6.235435e+01	1.000000e+00	-6.335435e+01
5.000720134703442e-01	4.524725e-03	6.279179e+01	1.000000e+00	-6.379179e+01
5.020251384703442e-01	1.269001e-01	6.228479e+01	1.000000e+00	-6.328479e+01
