time	V(n001)	I(R1)	I(V1)
5.449938884703442e-01	3.093822e-01	3.090911e-01	-3.090911e-01
5.469470134703442e-01	1.906505e-01	1.904711e-01	-1.904711e-01
5.489001384703442e-01	6.905135e-02	6.898637e-02	-6.898637e-02
5.508532634703442e-01	-5.358645e-02	-5.353602e-02	5.353602e-02
5.528063884703442e-01	-1.754182e-01	-1.752532e-01	1.752532e-01
5.547595134703442e-01	-2.946116e-01	-2.943344e-01	2.943344e-01
5.567126384703442e-01	-4.093737e-01	-4.089885e-01	4.089885e-01
5.586657634703442e-01	-5.179785e-01	-5.174911e-01	5.174911e-01
5.606188884703442e-01	-6.187924e-01	-6.182101e-01	6.182101e-01
5.625720134703442e-01	-7.102990e-01	-7.096307e-01	7.096307e-01
5.645251384703442e-01	-7.911221e-01	-7.903777e-01	7.903777e-01
5.664782634703442e-01	-8.600460e-01	-8.592368e-01	8.592368e-01
5.684313884703442e-01	-9.160340e-01	-9.151720e-01	9.151720e-01
5.703845134703442e-01	-9.582440e-01	-9.573424e-01	9.573424e-01
5.723376384703442e-01	-9.860411e-01	-9.851133e-01	9.851133e-01
5.742907634703442e-01	-9.990072e-01	-9.980672e-01	9.980672e-01
5.762438884703442e-01	-9.969474e-01	-9.960093e-01	9.960093e-01
5.781970134703442e-01	-9.798925e-01	-9.789705e-01	9.789705e-01
5.801501384703442e-01	-9.480991e-01	-9.472070e-01	9.472070e-01
5.821032634703442e-01	-9.020455e-01	-9.011967e-01	9.011967e-01
5.840563884703442e-01	-8.424242e-01	-8.416315e-01	8.416315e-01
5.860095134703442e-01	-7.701321e-01	-7.694074e-01	7.694074e-01
5.879626384703442e-01	-6.862565e-01	-6.856108e-01	6.856108e-01
5.899157634703442e-01	-5.920589e-01	-5.915018e-01	5.915018e-01
5.918688884703442e-01	-4.889562e-01	-4.884962e-01	4.884962e-01
5.938220134703442e-01	-3.784992e-01	-3.781431e-01	3.781431e-01
5.957751384703442e-01	-2.623492e-01	-2.621024e-01	2.621024e-01
5.977282634703442e-01	-1.422532e-01	-1.421194e-01	1.421194e-01
5.996813884703442e-01	-2.001762e-02	-1.999878e-02	1.999878e-02
6.016345134703442e-01	1.025191e-01	1.024226e-01	-1.024226e-01
6.035876384703442e-01	2.235138e-01	2.233035e-01	-2.233035e-01
6.055407634703442e-01	3.411466e-01	3.408256e-01	-3.408256e-01
6.074938884703442e-01	4.536483e-01	4.532215e-01	-4.532215e-01
6.094470134703442e-01	5.593267e-01	5.588004e-01	-5.588004e-01
6.114001384703442e-01	6.565923e-01	6.559745e-01	-6.559745e-01
6.133532634703442e-01	7.439821e-01	7.432821e-01	-7.432821e-01
6.153063884703442e-01	8.201818e-01	8.194101e-01	-8.194101e-01
6.172595134703442e-01	8.840452e-01	8.832133e-01	-8.832133e-01
6.192126384703442e-01	9.346117e-01	9.337323e-01	-9.337323e-01
6.211657634703442e-01	9.711207e-01	9.702070e-01	-9.702070e-01
6.231188884703442e-01	9.930233e-01	9.920889e-01	-9.920889e-01
6.250720134703442e-01	9.999897e-01	9.990488e-01	-9.990488e-01
6.270251384703442e-01	9.919155e-01	9.909822e-01	-9.909822e-01
6.289782634703442e-01	9.689219e-01	9.680102e-01	-9.680102e-01
6.309313884703442e-01	9.313548e-01	9.304785e-01	-9.304785e-01
6.328845134703442e-01	8.797793e-01	8.789514e-01	-8.789514e-01
6.348376384703442e-01	8.149711e-01	8.142042e-01	-8.142042e-01
6.367907634703442e-01	7.379049e-01	7.372106e-01	-7.372106e-01
6.387438884703442e-01	6.497400e-01	6.491286e-01	-6.491286e-01
6.406970134703442e-01	5.518024e-01	5.512832e-01	-5.512832e-01
6.426501384703442e-01	4.455651e-01	4.451459e-01	-4.451459e-01
6.446032634703442e-01	3.326262e-01	3.323132e-01	-3.323132e-01
6.465563884703442e-01	2.146842e-01	2.144822e-01	-2.144822e-01
6.485095134703442e-01	9.351320e-02	9.342521e-02	-9.342521e-02
6.514392009703442e-01	-9.030447e-02	-9.021950e-02	9.021950e-02
6.533923259703442e-01	-2.115359e-01	-2.113368e-01	2.113368e-01
6.553454509703442e-01	-3.295856e-01	-3.292755e-01	3.292755e-01
6.572985759703442e-01	-4.426780e-01	-4.422615e-01	4.422615e-01
6.592517009703442e-01	-5.491121e-01	-5.485954e-01	5.485954e-01
6.612048259703442e-01	-6.472871e-01	-6.466781e-01	6.466781e-01
6.631579509703442e-01	-7.357263e-01	-7.350340e-01	7.350340e-01
6.651110759703442e-01	-8.130995e-01	-8.123344e-01	8.123344e-01
6.670642009703442e-01	-8.782429e-01	-8.774165e-01	8.774165e-01
6.690173259703442e-01	-9.301767e-01	-9.293014e-01	9.293014e-01
6.709704509703442e-01	-9.681197e-01	-9.672088e-01	9.672088e-01
6.729235759703442e-01	-9.915015e-01	-9.905685e-01	9.905685e-01
6.748767009703442e-01	-9.999700e-01	-9.990291e-01	9.990291e-01
6.768298259703442e-01	-9.933981e-01	-9.924634e-01	9.924634e-01
6.787829509703442e-01	-9.718845e-01	-9.709700e-01	9.709700e-01
6.807360759703442e-01	-9.357529e-01	-9.348724e-01	9.348724e-01
6.826892009703442e-01	-8.855467e-01	-8.847135e-01	8.847135e-01
6.846423259703442e-01	-8.220211e-01	-8.212476e-01	8.212476e-01
6.865954509703442e-01	-7.461315e-01	-7.454294e-01	7.454294e-01
6.885485759703442e-01	-6.590194e-01	-6.583992e-01	6.583992e-01
6.905017009703442e-01	-5.619950e-01	-5.614662e-01	5.614662e-01
6.924548259703442e-01	-4.565177e-01	-4.560881e-01	4.560881e-01
6.944079509703442e-01	-3.441739e-01	-3.438501e-01	3.438501e-01
6.963610759703442e-01	-2.266535e-01	-2.264402e-01	2.264402e-01
6.983142009703442e-01	-1.057239e-01	-1.056244e-01	1.056244e-01
7.012438884703442e-01	7.807627e-02	7.800281e-02	-7.800281e-02
7.031970134703442e-01	1.995261e-01	1.993384e-01	-1.993384e-01
7.051501384703442e-01	3.179749e-01	3.176757e-01	-3.176757e-01
7.071032634703442e-01	4.316410e-01	4.312349e-01	-4.312349e-01
7.090563884703442e-01	5.388149e-01	5.383079e-01	-5.383079e-01
7.110095134703442e-01	6.378844e-01	6.372842e-01	-6.372842e-01
7.129626384703442e-01	7.273597e-01	7.266753e-01	-7.266753e-01
7.149157634703442e-01	8.058947e-01	8.051364e-01	-8.051364e-01
7.168688884703442e-01	8.723083e-01	8.714875e-01	-8.714875e-01
7.188220134703442e-01	9.256016e-01	9.247307e-01	-9.247307e-01
7.207751384703442e-01	9.649730e-01	9.640650e-01	-9.640650e-01
7.227282634703442e-01	9.898303e-01	9.888989e-01	-9.888989e-01
