time	V(n002)	I(C1)	I(V1)
3.506579509703442e-01	-4.132850e-02	-6.273878e+01	6.273878e+01
3.526110759703442e-01	-1.633238e-01	-6.194929e+01	6.194929e+01
3.545642009703442e-01	-2.828625e-01	-6.022802e+01	6.022802e+01
3.565173259703442e-01	-3.981467e-01	-5.760086e+01	5.760086e+01
3.584704509703442e-01	-5.074425e-01	-5.410734e+01	5.410734e+01
3.604235759703442e-01	-6.091058e-01	-4.979999e+01	4.979999e+01
3.623767009703442e-01	-7.016076e-01	-4.474360e+01	4.474360e+01
3.643298259703442e-01	-7.835566e-01	-3.901423e+01	3.901423e+01
3.662829509703442e-01	-8.537201e-01	-3.269804e+01	3.269804e+01
3.682360759703442e-01	-9.110429e-01	-2.589005e+01	2.589005e+01
3.701892009703442e-01	-9.546628e-01	-1.869264e+01	1.869264e+01
3.721423259703442e-01	-9.839236e-01	-1.121408e+01	1.121408e+01
3.740954509703442e-01	-9.983854e-01	-3.566855e+00	3.566855e+00
3.760485759703442e-01	-9.978305e-01	4.134023e+00	-4.134023e+00
3.780017009703442e-01	-9.822672e-01	1.177272e+01	-1.177272e+01
3.799548259703442e-01	-9.519298e-01	1.923435e+01	-1.923435e+01
3.819079509703442e-01	-9.072744e-01	2.640667e+01	-2.640667e+01
3.838610759703442e-01	-8.489729e-01	3.318181e+01	-3.318181e+01
3.858142009703442e-01	-7.779019e-01	3.945787e+01	-3.945787e+01
3.877673259703442e-01	-6.951306e-01	4.514044e+01	-4.514044e+01
3.897204509703442e-01	-6.019039e-01	5.014406e+01	-5.014406e+01
3.916735759703442e-01	-4.996240e-01	5.439347e+01	-5.439347e+01
3.936267009703442e-01	-3.898293e-01	5.782475e+01	-5.782475e+01
3.955798259703442e-01	-2.741711e-01	6.038628e+01	-6.038628e+01
3.975329509703442e-01	-1.543892e-01	6.203956e+01	-6.203956e+01
3.994860759703442e-01	-3.228519e-02	6.275970e+01	-6.275970e+01
4.014392009703442e-01	9.030447e-02	6.253588e+01	-6.253588e+01
4.033923259703442e-01	2.115359e-01	6.137146e+01	-6.137146e+01
4.053454509703442e-01	3.295856e-01	5.928395e+01	-5.928395e+01
4.072985759703442e-01	4.426780e-01	5.630476e+01	-5.630476e+01
4.092517009703442e-01	5.491121e-01	5.247869e+01	-5.247869e+01
4.112048259703442e-01	6.472871e-01	4.786330e+01	-4.786330e+01
4.131579509703442e-01	7.357263e-01	4.252800e+01	-4.252800e+01
4.151110759703442e-01	8.130995e-01	3.655303e+01	-3.655303e+01
4.170642009703442e-01	8.782429e-01	3.002827e+01	-3.002827e+01
4.190173259703442e-01	9.301767e-01	2.305187e+01	-2.305187e+01
4.209704509703442e-01	9.681197e-01	1.572874e+01	-1.572874e+01
4.229235759703442e-01	9.915015e-01	8.169030e+00	-8.169030e+00
4.248767009703442e-01	9.999700e-01	4.864548e-01	-4.864548e-01
4.268298259703442e-01	9.933981e-01	-7.203437e+00	7.203437e+00
