time	V(n002)	V(n001)	V(n004)	I(C2)	I(C1)	I(V2)	I(V1)
1.563220134703442e-01	-3.868598e-01	6.131402e-01	1.400854e-01	-2.895166e+01	-2.895166e+01	2.895166e+01	2.895166e+01
1.572985759703442e-01	-4.426780e-01	5.573220e-01	1.122026e-01	-2.815238e+01	-2.815238e+01	2.815238e+01	2.815238e+01
1.582751384703442e-01	-4.968300e-01	5.031700e-01	8.515205e-02	-2.724714e+01	-2.724714e+01	2.724714e+01	2.724714e+01
1.592517009703442e-01	-5.491121e-01	4.508879e-01	5.903560e-02	-2.623935e+01	-2.623935e+01	2.623935e+01	2.623935e+01
1.602282634703442e-01	-5.993275e-01	4.006725e-01	3.395155e-02	-2.513280e+01	-2.513280e+01	2.513280e+01	2.513280e+01
1.612048259703442e-01	-6.472871e-01	3.527129e-01	9.994302e-03	-2.393165e+01	-2.393165e+01	2.393165e+01	2.393165e+01
1.621813884703442e-01	-6.928105e-01	3.071895e-01	-1.274597e-02	-2.264043e+01	-2.264043e+01	2.264043e+01	2.264043e+01
1.631579509703442e-01	-7.357263e-01	2.642737e-01	-3.418368e-02	-2.126400e+01	-2.126400e+01	2.126400e+01	2.126400e+01
1.641345134703442e-01	-7.758730e-01	2.241270e-01	-5.423814e-02	-1.980753e+01	-1.980753e+01	1.980753e+01	1.980753e+01
1.651110759703442e-01	-8.130995e-01	1.869005e-01	-7.283387e-02	-1.827652e+01	-1.827652e+01	1.827652e+01	1.827652e+01
1.660876384703442e-01	-8.472657e-01	1.527344e-01	-8.990087e-02	-1.667671e+01	-1.667671e+01	1.667671e+01	1.667671e+01
1.670642009703442e-01	-8.782429e-01	1.217571e-01	-1.053749e-01	-1.501414e+01	-1.501414e+01	1.501414e+01	1.501414e+01
1.680407634703442e-01	-9.059146e-01	9.408540e-02	-1.191978e-01	-1.329506e+01	-1.329506e+01	1.329506e+01	1.329506e+01
1.690173259703442e-01	-9.301767e-01	6.982332e-02	-1.313174e-01	-1.152593e+01	-1.152593e+01	1.152593e+01	1.152593e+01
1.699938884703442e-01	-9.509378e-01	4.906221e-02	-1.416882e-01	-9.713430e+00	-9.713430e+00	9.713430e+00	9.713430e+00
1.709704509703442e-01	-9.681197e-01	3.188023e-02	-1.502711e-01	-7.864367e+00	-7.864367e+00	7.864367e+00	7.864367e+00
1.719470134703442e-01	-9.816580e-01	1.834203e-02	-1.570338e-01	-5.985706e+00	-5.985706e+00	5.985706e+00	5.985706e+00
1.729235759703442e-01	-9.915015e-01	8.498567e-03	-1.619509e-01	-4.084515e+00	-4.084515e+00	4.084515e+00	4.084515e+00
1.739001384703442e-01	-9.976131e-01	2.386893e-03	-1.650039e-01	-2.167951e+00	-2.167951e+00	2.167951e+00	2.167951e+00
1.748767009703442e-01	-9.999700e-01	3.000868e-05	-1.661812e-01	-2.432274e-01	-2.432274e-01	2.432274e-01	2.432274e-01
1.758532634703442e-01	-9.985632e-01	1.436786e-03	-1.654785e-01	1.682412e+00	1.682412e+00	-1.682412e+00	-1.682412e+00
1.768298259703442e-01	-9.933981e-01	6.601929e-03	-1.628983e-01	3.601719e+00	3.601719e+00	-3.601719e+00	-3.601719e+00
1.778063884703442e-01	-9.844940e-01	1.550600e-02	-1.584505e-01	5.507469e+00	5.507469e+00	-5.507469e+00	-5.507469e+00
1.787829509703442e-01	-9.718845e-01	2.811548e-02	-1.521517e-01	7.392491e+00	7.392491e+00	-7.392491e+00	-7.392491e+00
1.797595134703442e-01	-9.556171e-01	4.438292e-02	-1.440256e-01	9.249689e+00	9.249689e+00	-9.249689e+00	-9.249689e+00
1.807360759703442e-01	-9.357529e-01	6.424708e-02	-1.341029e-01	1.107207e+01	1.107207e+01	-1.107207e+01	-1.107207e+01
1.817126384703442e-01	-9.123668e-01	8.763321e-02	-1.224208e-01	1.285279e+01	1.285279e+01	-1.285279e+01	-1.285279e+01
1.826892009703442e-01	-8.855467e-01	1.144533e-01	-1.090234e-01	1.458512e+01	1.458512e+01	-1.458512e+01	-1.458512e+01
1.836657634703442e-01	-8.553936e-01	1.446063e-01	-9.396106e-02	1.626256e+01	1.626256e+01	-1.626256e+01	-1.626256e+01
1.846423259703442e-01	-8.220211e-01	1.779789e-01	-7.729047e-02	1.787880e+01	1.787880e+01	-1.787880e+01	-1.787880e+01
1.856188884703442e-01	-7.855546e-01	2.144454e-01	-5.907439e-02	1.942774e+01	1.942774e+01	-1.942774e+01	-1.942774e+01
1.865954509703442e-01	-7.461315e-01	2.538685e-01	-3.938137e-02	2.090356e+01	2.090356e+01	-2.090356e+01	-2.090356e+01
1.875720134703442e-01	-7.039001e-01	2.960999e-01	-1.828554e-02	2.230070e+01	2.230070e+01	-2.230070e+01	-2.230070e+01
1.885485759703442e-01	-6.590194e-01	3.409806e-01	4.133703e-03	2.361391e+01	2.361391e+01	-2.361391e+01	-2.361391e+01
1.895251384703442e-01	-6.116582e-01	3.883418e-01	2.779198e-02	2.483824e+01	2.483824e+01	-2.483824e+01	-2.483824e+01
1.905017009703442e-01	-5.619950e-01	4.380050e-01	5.260025e-02	2.596909e+01	2.596909e+01	-2.596909e+01	-2.596909e+01
1.914782634703442e-01	-5.102165e-01	4.897835e-01	7.846513e-02	2.700219e+01	2.700219e+01	-2.700219e+01	-2.700219e+01
1.924548259703442e-01	-4.565177e-01	5.434823e-01	1.052893e-01	2.793366e+01	2.793366e+01	-2.793366e+01	-2.793366e+01
1.934313884703442e-01	-4.011006e-01	5.988994e-01	1.329717e-01	2.876000e+01	2.876000e+01	-2.876000e+01	-2.876000e+01
1.953845134703442e-01	-2.859518e-01	7.140482e-01	1.904920e-01	3.008524e+01	3.008524e+01	-3.008524e+01	-3.008524e+01
1.973376384703442e-01	-1.665020e-01	8.334979e-01	2.501607e-01	3.095796e+01	3.095796e+01	-3.095796e+01	-3.095796e+01
1.992907634703442e-01	-4.454790e-02	9.554521e-01	3.110803e-01	3.136505e+01	3.136505e+01	-3.136505e+01	-3.136505e+01
2.012438884703442e-01	7.807627e-02	1.078076e+00	3.723347e-01	3.130038e+01	3.130038e+01	-3.130038e+01	-3.130038e+01
2.031970134703442e-01	1.995261e-01	1.199526e+00	4.330025e-01	3.076492e+01	3.076492e+01	-3.076492e+01	-3.076492e+01
2.051501384703442e-01	3.179749e-01	1.317975e+00	4.921712e-01	2.976673e+01	2.976673e+01	-2.976673e+01	-2.976673e+01
2.071032634703442e-01	4.316410e-01	1.431641e+00	5.489508e-01	2.832082e+01	2.832082e+01	-2.832082e+01	-2.832082e+01
2.090563884703442e-01	5.388149e-01	1.538815e+00	6.024873e-01	2.644893e+01	2.644893e+01	-2.644893e+01	-2.644893e+01
2.110095134703442e-01	6.378844e-01	1.637884e+00	6.519755e-01	2.417923e+01	2.417923e+01	-2.417923e+01	-2.417923e+01
2.129626384703442e-01	7.273597e-01	1.727360e+00	6.966709e-01	2.154586e+01	2.154586e+01	-2.154586e+01	-2.154586e+01
2.149157634703442e-01	8.058947e-01	1.805895e+00	7.359015e-01	1.858841e+01	1.858841e+01	-1.858841e+01	-1.858841e+01
2.168688884703442e-01	8.723083e-01	1.872308e+00	7.690771e-01	1.535138e+01	1.535138e+01	-1.535138e+01	-1.535138e+01
2.188220134703442e-01	9.256016e-01	1.925602e+00	7.956986e-01	1.188344e+01	1.188344e+01	-1.188344e+01	-1.188344e+01
2.207751384703442e-01	9.649730e-01	1.964973e+00	8.153659e-01	8.236773e+00	8.236773e+00	-8.236773e+00	-8.236773e+00
2.227282634703442e-01	9.898303e-01	1.989830e+00	8.277828e-01	4.466213e+00	4.466213e+00	-4.466213e+00	-4.466213e+00
2.246813884703442e-01	9.997996e-01	1.999800e+00	8.327627e-01	6.284773e-01	6.284773e-01	-6.284773e-01	-6.284773e-01
2.266345134703442e-01	9.947310e-01	1.994731e+00	8.302308e-01	-3.218711e+00	-3.218711e+00	3.218711e+00	3.218711e+00
2.285876384703442e-01	9.747007e-01	1.974701e+00	8.202251e-01	-7.017488e+00	-7.017488e+00	7.017488e+00	7.017488e+00
2.305407634703442e-01	9.400101e-01	1.940010e+00	8.028961e-01	-1.071071e+01	-1.071071e+01	1.071071e+01	1.071071e+01
2.324938884703442e-01	8.911808e-01	1.891181e+00	7.785045e-01	-1.424284e+01	-1.424284e+01	1.424284e+01	1.424284e+01
2.344470134703442e-01	8.289473e-01	1.828947e+00	7.474170e-01	-1.756074e+01	-1.756074e+01	1.756074e+01	1.756074e+01
