time	V(n002)	I(L1)	I(V1)
4.245117253613144e-01	9.995294e-01	1.541643e-02	-1.541643e-02
4.264648503613144e-01	9.957674e-01	1.736493e-02	-1.736493e-02
4.284179753613144e-01	9.770281e-01	1.929145e-02	-1.929145e-02
4.303711003613144e-01	9.435933e-01	2.116702e-02	-2.116702e-02
4.323242253613144e-01	8.959661e-01	2.296342e-02	-2.296342e-02
4.342773503613144e-01	8.348626e-01	2.465364e-02	-2.465364e-02
4.362304753613144e-01	7.612021e-01	2.621225e-02	-2.621225e-02
4.381836003613144e-01	6.760924e-01	2.761581e-02	-2.761581e-02
4.401367253613144e-01	5.808136e-01	2.884320e-02	-2.884320e-02
4.420898503613144e-01	4.767989e-01	2.987597e-02	-2.987597e-02
4.440429753613144e-01	3.656126e-01	3.069858e-02	-3.069858e-02
4.459961003613144e-01	2.489272e-01	3.129865e-02	-3.129865e-02
4.479492253613144e-01	1.284977e-01	3.166717e-02	-3.166717e-02
4.499023503613144e-01	6.135469e-03	3.179859e-02	-3.179859e-02
4.518554753613144e-01	-1.163190e-01	3.169093e-02	-3.169093e-02
4.538086003613144e-01	-2.370240e-01	3.134580e-02	-3.134580e-02
4.557617253613144e-01	-3.541639e-01	3.076841e-02	-3.076841e-02
4.577148503613144e-01	-4.659769e-01	2.996743e-02	-2.996743e-02
4.596679753613144e-01	-5.707811e-01	2.895491e-02	-2.895491e-02
4.616211003613144e-01	-6.670002e-01	2.774609e-02	-2.774609e-02
4.635742253613144e-01	-7.531871e-01	2.635913e-02	-2.635913e-02
4.655273503613144e-01	-8.280452e-01	2.481491e-02	-2.481491e-02
4.674804753613144e-01	-8.904489e-01	2.313664e-02	-2.313664e-02
4.694336003613144e-01	-9.394594e-01	2.134958e-02	-2.134958e-02
4.713867253613144e-01	-9.743395e-01	1.948059e-02	-1.948059e-02
4.733398503613144e-01	-9.945646e-01	1.755779e-02	-1.755779e-02
4.752929753613144e-01	-9.998306e-01	1.561011e-02	-1.561011e-02
4.772461003613144e-01	-9.900581e-01	1.366683e-02	-1.366683e-02
4.791992253613144e-01	-9.653943e-01	1.175718e-02	-1.175718e-02
4.811523503613144e-01	-9.262101e-01	9.909885e-03	-9.909885e-03
4.831054753613144e-01	-8.730948e-01	8.152733e-03	-8.152733e-03
4.850586003613144e-01	-8.068473e-01	6.512148e-03	-6.512148e-03
4.860351628613144e-01	-7.691031e-01	5.743360e-03	-5.743360e-03
4.870117253613144e-01	-7.284641e-01	5.012808e-03	-5.012808e-03
4.879882878613144e-01	-6.850834e-01	4.323245e-03	-4.323245e-03
4.889648503613144e-01	-6.391242e-01	3.677263e-03	-3.677263e-03
4.899414128613144e-01	-5.907593e-01	3.077296e-03	-3.077296e-03
4.909179753613144e-01	-5.401711e-01	2.525601e-03	-2.525601e-03
4.918945378613144e-01	-4.875498e-01	2.024254e-03	-2.024254e-03
4.928711003613144e-01	-4.330935e-01	1.575142e-03	-1.575142e-03
4.938476628613144e-01	-3.770070e-01	1.179956e-03	-1.179956e-03
4.948242253613144e-01	-3.195016e-01	8.401833e-04	-8.401833e-04
4.958007878613144e-01	-2.607937e-01	5.571019e-04	-5.571019e-04
4.967773503613144e-01	-2.011042e-01	3.317775e-04	-3.317775e-04
4.977539128613144e-01	-1.406578e-01	1.650583e-04	-1.650583e-04
4.987304753613144e-01	-7.968202e-02	5.757161e-05	-5.757161e-05
4.997070378613144e-01	-1.840631e-02	9.721952e-06	-9.721952e-06
5.006836003613144e-01	4.293867e-02	2.168935e-05	-2.168935e-05
5.016601628613144e-01	1.041221e-01	9.342872e-05	-9.342872e-05
5.026367253613144e-01	1.649135e-01	2.246700e-04	-2.246700e-04
5.036132878613144e-01	2.250843e-01	4.149191e-04	-4.149191e-04
5.045898503613144e-01	2.844079e-01	6.634600e-04	-6.634600e-04
5.055664128613144e-01	3.426611e-01	9.693571e-04	-9.693571e-04
5.065429753613144e-01	3.996246e-01	1.331459e-03	-1.331459e-03
5.075195378613144e-01	4.550840e-01	1.748403e-03	-1.748403e-03
5.084961003613144e-01	5.088305e-01	2.218620e-03	-2.218620e-03
5.094726628613144e-01	5.606619e-01	2.740339e-03	-2.740339e-03
5.104492253613144e-01	6.103832e-01	3.311597e-03	-3.311597e-03
5.114257878613144e-01	6.578070e-01	3.930245e-03	-3.930245e-03
5.124023503613144e-01	7.027550e-01	4.593953e-03	-4.593953e-03
5.133789128613144e-01	7.450581e-01	5.300222e-03	-5.300222e-03
5.143554753613144e-01	7.845569e-01	6.046396e-03	-6.046396e-03
5.163086003613144e-01	8.545582e-01	7.647083e-03	-7.647083e-03
5.182617253613144e-01	9.117062e-01	9.371935e-03	-9.371935e-03
5.202148503613144e-01	9.551413e-01	1.119501e-02	-1.119501e-02
5.221679753613144e-01	9.842102e-01	1.308889e-02	-1.308889e-02
5.241211003613144e-01	9.984756e-01	1.502508e-02	-1.502508e-02
5.260742253613144e-01	9.977230e-01	1.697446e-02	-1.697446e-02
5.280273503613144e-01	9.819638e-01	1.890771e-02	-1.890771e-02
5.299804753613144e-01	9.514349e-01	2.079576e-02	-2.079576e-02
5.319336003613144e-01	9.065955e-01	2.261020e-02	-2.261020e-02
5.338867253613144e-01	8.481202e-01	2.432375e-02	-2.432375e-02
5.358398503613144e-01	7.768882e-01	2.591062e-02	-2.591062e-02
5.377929753613144e-01	6.939712e-01	2.734696e-02	-2.734696e-02
5.397461003613144e-01	6.006162e-01	2.861115e-02	-2.861115e-02
5.416992253613144e-01	4.982273e-01	2.968418e-02	-2.968418e-02
5.436523503613144e-01	3.883447e-01	3.054992e-02	-3.054992e-02
5.456054753613144e-01	2.726209e-01	3.119533e-02	-3.119533e-02
5.475586003613144e-01	1.527968e-01	3.161072e-02	-3.161072e-02
5.495117253613144e-01	3.067439e-02	3.178983e-02	-3.178983e-02
5.514648503613144e-01	-9.190937e-02	3.172997e-02	-3.172997e-02
5.534179753613144e-01	-2.131107e-01	3.143203e-02	-3.143203e-02
5.553711003613144e-01	-3.311067e-01	3.090051e-02	-3.090051e-02
5.573242253613144e-01	-4.441225e-01	3.014339e-02	-3.014339e-02
5.592773503613144e-01	-5.504583e-01	2.917206e-02	-2.917206e-02
5.612304753613144e-01	-6.485147e-01	2.800113e-02	-2.800113e-02
5.631836003613144e-01	-7.368168e-01	2.664821e-02	-2.664821e-02
5.651367253613144e-01	-8.140365e-01	2.513366e-02	-2.513366e-02
5.670898503613144e-01	-8.790124e-01	2.348024e-02	-2.348024e-02
